akz1	akz	akzizWa
sAD	sAD	sAD sADa sADaka sADin sADya sADana sADanIya sADas sADu sADu sadDi sADIyas sADizWa sADayitavya sADayitf sizADayizA sizADayizu
sic	sic	sic sicya sicya seka sekin sekya secaka secya secana secanIya sikti sektavya sektf secitf sikTa
siD1	siD	seDa seDaka seDin seDya seDana seDanIya sidDi sedDavya sedDf sedDra siDma siDman seDayitf
siD2	siD	siD sidDi siDma siDra siDvan
sIv	siv	syU sIvaka sIvya seva sevana sIvana sevitavya sUtra sUna syuman syona
suB	suB	soBari soBarI
sU	su	sU sava savya savin savana suvana savas sUti suti sUtu savitf savItf sUtrI strI savaTa sUna sUnu sUma sUya sUra sUri savIman sUvan sUzA sUzaRA
sUd	sUd	sUd sUda sUdaka sUdin sUdana sUdayitnu
sUrkz	sUrkz	sUrkzya
sf	sf	sara saraka sarin sAra sAraka sArin sArya sirA sIrA saraRa saraRi sAraRa sAraRIya saras sarit saru sft sfti sftya sftyA sartu sartavya sartf sftvan sftvara sarma sarman sarIman saramA sfmara sarayu sarira salila sarala sasra sasri sisArayizu
sfj	sfj	sfj sraj sfjya sarga sargin sarja sarjya sarjana sfzwi sfzwi srazwavya srazwf sfjaya sfjayA sisfkzA sisfkzu sarjayitavaya
sfp	sfp	sfp sfpya sarpa sarpaka sarpin sarpaRa sarpi sarpis sfpti sfpra sasarparI sarIsfpa
sev	sev	sevA sevaka sevin sevya sevana sevanIya sevitavya sevitf sizevayizu
skand	skand	skanda skandin skandya skandana skadvarI skanDa skanDas
skamB	skamB	skaBa skamBa skamBaka skamBin skamBana skaBIyas
sku	sku	skava skavana
sKal	sKal	sKala sKalana
stan	stan	stana stAnaka stanana stAmu stanaTa stanaTu izwani stanayitnu
stamB	stamB	stamBa stamBaka stamBin staBa staBya staBu stamBana stamBanIya stabDi stamBayitf stamBayizu
stu1	stu	stu stava stavya stAva stAvaka stAvya stavana stavanIya stAvanA stut stuti stutya stotavya stotf stotra stavaTa stoma stavAn stuzeyya
stuB	stuB	stuB stuBa stoBa stoBana stobDavya stuBvan
stf	stf	stf stir stuf stara starya starya stAra stAraka stArin staraRa stfti stftya starItu staritf starIman stfRa
styA	styE	stiyA styAya styAyana stIma stImin
sTag	sTag	sTagaka sTagana
sTA	sTA	sTA sTa sTin sTAya sTAyaka sTAyin sTAna sTi sTeya sTeya sTu sTf sTAyuka sTiti sTiti sTAtavya sTAtur sTAtf sTAtra sTARu sTAman sTeman sTeyas sTira sTAla sTAlI sTAvan sTAvara sTAsnu tasTu tizWAsA tizWAsu sTApaka sTApin sTApya sTApana sTApanIya TApitf sTApayitavya sTApayitf
snA	snA	snA sna snAyin sneya snAna snAtf snAtva snAtavya sizRAsu snApaka snApana snapana
snih	snih	snih sneha snehaka snehin snehya snIhan snehana snIhiti snehiti snehayitavya
snu	snu	snu snava snAvin
spand	spand	spanda spandin spandana panizpada
spf	spf	spara sparaRa spft spfti spartf
spfD	sparD	spfD sparDA sparDin sparDya sparDanIya sparDas
spfS	spfS	spfS spfSa spfSya sparSa sparSin sparSana sparSanIya spfSi spfzwi sprazwavya sprazwf sparSitf pispfkzu sparSayitavya
spfh	spfh	spfh spfhA spArha spfhaRa spfhaRIya spfhayAlu spfhayAyya
sPaw	sPaw	sPawika
sPal	sPal	sPAlana
sPA	sPAy	sPAka sPAna sPati sPIti sPira sPAvayitf
sPuw	sPuw	sPuwa sPowa sPuwana sPowana
sPUrj	sPUrj	sPUrja sPUrjaka sPURjana sPUrjaTu sPUrji
sPf	sPur	sPur sPura sPAra sPuraRa sPUrti sPuliNga
smi	smi	smaya smayAka smAya smayana smayanIya smetavya smera smApaka smApana smApanIya smApayanIya sismApayizu
smf	smf	smara smarya smAra smAraka smArin smAraRa smaraRa smaraRIya smft smfti smartavya smartf
syand	syand	syad syada syanda syandaka syandin syandyA syandana syedu syanttf syandra sasyad sanizyada
sraMs	sraMs	sras srasA srasya sraNsa sraNsaka sraNsin sraNsana sanisrasa
sriD	sriD	sriD
srIv	sriv	srIvi sreman
sru	sru	srU sruva srava sravin srAva srAvin srAvya sravaRa srAvaRa sravas sravat sruc srut srutya sruti srotas srotyA sravaTa srAvayitavya
svaj	svaj	svaja svajya svaNga svaNgin svajana svajIyas svaYjalya
svad	svad	svada svAda svAdaka svAdin svAdya svAdana svAdanIya svAdas svAdu svAdIyas svAdizWa svAdman svAdman svAdiman svadayitf
svan	svan	svan svana svAna svAnin svanas svani svanaya
svap	svap	sup svApa svApin svapana svApana supti svaptavya svapitf svapna suzupsA suzupsu
svar	svf	svar svara svara svarya svAra svArya svaraRa svaras svari svaru svaritf svartf svarIyas svarayitavya
svid	svid	sveda svedin svedya svedana svedu
had	had	hAda hadana
han	han	han ha hana Ga Gana Gna Gnya Gni GnI hanana hanas hanu hat hati hatya hatyA hanti hantu hantva hantavya hantf haTa hatnu hanman hanIyas hanizWa jaGana GanAGana jaGni jaNGA jiGatnu jiGANsA jiGANsu hAta GAta GAtaka GAtin GAtya GAtana GAtuka
has	has	has hasa hasa hasya hAsa hAsaka hAsin hAsya hasanA Hasana hasanIya hAsana hasra hasvan
hA1	hA	hA ha hAyaka hAyin hAyya hAna hAyas hAtavya hAni hi heya hAvarI hApana hApanIya jihAsA jihAsu jahaka jahAka jahana
hi	hi	haya heya hit hiti heti hetu hetva hetavya hetf heman heman hitvan hinva hezas hAyya
hikk	hikk	hikkA hikkin
hiMs	hiMs	hiNsA hiNsaka hiNsya hiNsana hiNsanIya hiNsitavya hiNsra
hiRq	hiRq	hiRqaka hiRquka
hIq	hIq	hIqa heqa helA heqana helana helanIya heqas helitavya
hu	hu	hava havya hAva havana havis hut huti hotavya hotf hotra hotrA homa homan hoza juhU juhUzu
hU	hve	hU hUya hava havin havya havyA hAva huvana havana havas hUti havItu hUtavya hotf hotrA homan havIman hiavizWa hvA hva hvaya hvAyaka hvayana hvAna hvAtavya hvayitavya hvAtf jihvA johUtra hvAyayitavya
hf1	hf	hara hAra hAraka hArin hArya haraRa haraRIya hAraRa haras hAruka hft hfti hftya hartavya hartf jihIrzA jihIrzu hArayitavya
hf2	hf	hfRAy hfRIy
hfz	hfz	harza harzaka harzin harzaRa hfzI harzi harzu hfzwi Gfzu Gfzvi
hez	hez	heza hezA hezas
hnu	hnu	hnava hnavana hnuvana hnuti hnotf hnavAyya
hras	hras	hrAsa hrAsana hrAsanIya hrasizWa hrasIyas hrasva
hrAd	hrAd	hrAda hrAdin hrAdana hrAdi
hrI	hrI	hrI hri hraya hrIti hrepaRa
hrez	hrez	hrezin hrezuka
hlAd	hlAd	hrada hlAda hlAdaka hlAdin hlAdana hlAduka hlAduni hrAduni hlAdayitf
hval	hval	hvala hvalA hvalin hvAla
hvf	hru	hUrya hvara hvaraka hvAra huras hvaras hvft hrut hvfti hruti
